threshold,precision,recall,f1
0.1,0.2275,1.0,0.37067209775967414
0.12000000000000001,0.2275,1.0,0.37067209775967414
0.14,0.2275,1.0,0.37067209775967414
0.16000000000000003,0.2275,1.0,0.37067209775967414
0.18000000000000002,0.2275,1.0,0.37067209775967414
0.2,0.2275,1.0,0.37067209775967414
0.22000000000000003,0.2268557130942452,0.9963369963369964,0.3695652173913043
0.24000000000000002,0.22837951301427373,0.9963369963369964,0.37158469945355194
0.26,0.2277730736663844,0.9853479853479854,0.3700137551581843
0.28,0.23209663503019845,0.9853479853479854,0.3756983240223464
0.30000000000000004,0.23392857142857143,0.9597069597069597,0.37616654702081836
0.32000000000000006,0.23404255319148937,0.9267399267399268,0.37370753323485967
0.3400000000000001,0.24174757281553397,0.9120879120879121,0.3821949347659248
0.3600000000000001,0.2479591836734694,0.8901098901098901,0.38786911412609737
0.38,0.2559652928416486,0.8644688644688645,0.39497907949790795
0.4,0.2638888888888889,0.8351648351648352,0.40105540897097625
0.42000000000000004,0.2692307692307692,0.7948717948717948,0.40222428174235403
0.44000000000000006,0.28010825439783493,0.7582417582417582,0.4090909090909091
0.4600000000000001,0.28335832083958024,0.6923076923076923,0.4021276595744681
0.4800000000000001,0.28689883913764513,0.6336996336996337,0.3949771689497717
0.5000000000000001,0.2964352720450281,0.5787545787545788,0.3920595533498759
0.5200000000000001,0.3184855233853007,0.5238095238095238,0.3961218836565097
0.54,0.31958762886597936,0.4542124542124542,0.3751891074130106
0.56,0.32335329341317365,0.3956043956043956,0.35584843492586493
0.5800000000000001,0.33448275862068966,0.3553113553113553,0.34458259325044405
0.6000000000000001,0.3387096774193548,0.3076923076923077,0.32245681381957775
0.6200000000000001,0.390625,0.27472527472527475,0.3225806451612903
0.6400000000000001,0.42483660130718953,0.23809523809523808,0.3051643192488263
0.66,0.415929203539823,0.17216117216117216,0.24352331606217617
0.68,0.36904761904761907,0.11355311355311355,0.17366946778711484
0.7000000000000001,0.39622641509433965,0.07692307692307693,0.12883435582822086
0.7200000000000001,0.46153846153846156,0.04395604395604396,0.0802675585284281
0.7400000000000001,0.38461538461538464,0.018315018315018316,0.03496503496503497
0.7600000000000001,0.375,0.01098901098901099,0.021352313167259787
0.7800000000000001,0.25,0.003663003663003663,0.007220216606498195
0.8000000000000002,0.0,0.0,0.0
0.8200000000000002,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.8600000000000001,0.0,0.0,0.0
0.8800000000000001,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,0.0
